indicator,A30_FULL,A30_UNEMP,B71_FULL,B71_UNEMP
real_gdp_pct,0.00,-0.22,-0.01,-0.54
employment_pct,0.00,-0.79,0.00,-1.92
unemployment_pct_of_labour_force,0.00,0.79,0.00,1.92
real_wage_pct,-0.61,0.00,-1.47,0.00
exchange_rate_pct,2.18,2.16,5.08,5.03
total_investment_pct,-0.89,-1.29,-2.07,-3.03
import_volume_pct,-3.27,-3.44,-7.31,-7.71
export_volume_pct,2.75,2.44,6.48,5.69
govt_saving_pkr_tn_base_-1.55,-1.56,-1.57,-1.57,-1.59
energy_import_bill_usd_tn_base_0.86,1.08,1.08,1.37,1.36
output_agri_pct,0.05,-0.21,0.13,-0.52
output_energy_pct,-0.53,-0.60,-1.29,-1.49
output_mfg_pct,0.45,0.14,1.05,0.31
output_serv_pct,-0.07,-0.26,-0.16,-0.64
labour_agri_pct,0.16,-0.68,0.40,-1.65
labour_energy_pct,-10.15,-11.51,-23.21,-26.29
labour_mfg_pct,1.10,0.35,2.60,0.77
labour_serv_pct,-0.27,-1.04,-0.65,-2.52
imports_agri_pct,-3.78,-3.97,-8.55,-9.01
imports_energy_pct,-3.51,-3.63,-7.30,-7.61
imports_mfg_pct,-3.45,-3.62,-7.82,-8.22
imports_serv_pct,-2.25,-2.42,-5.14,-5.56
price_pq_agri_pct,-0.33,-0.31,-0.81,-0.76
price_pq_energy_pct,4.46,4.06,11.25,10.26
price_pq_mfg_pct,0.29,0.33,0.63,0.73
price_pq_serv_pct,-0.41,-0.41,-0.97,-0.98
hh_income_urban_pct,-0.87,-1.06,-2.06,-2.52
hh_income_rural_pct,-0.79,-0.98,-1.88,-2.34
hh_welfare_urban_pct,-0.86,-1.06,-2.03,-2.50
hh_welfare_rural_pct,-0.79,-0.98,-1.86,-2.31
