indicator,central,armington_x0.5,armington_x2,energy_armington_0.56,cet_x0.5,cet_x2,energy_labour_share_20pct
real_gdp_pct,-0.54,-0.54,-0.61,-0.98,-0.58,-0.50,-0.88
employment_pct,-1.92,-1.90,-2.19,-3.51,-2.05,-1.79,-3.06
exchange_rate_pct,5.03,7.69,2.68,2.36,6.28,3.60,4.66
investment_pct,-3.03,-3.02,-3.03,-2.94,-3.03,-3.03,-3.30
energy_output_pct,-1.49,-1.96,-0.89,0.24,-1.54,-1.42,-3.63
energy_jobs_pct,-26.29,-33.10,-16.55,5.10,-27.13,-25.27,-16.88
energy_imports_pct,-7.61,-5.40,-11.40,-21.51,-7.77,-7.41,-8.88
energy_price_pq_pct,10.26,8.44,13.56,23.35,10.42,10.09,16.14
urban_welfare_pct,-2.50,-2.59,-2.49,-2.81,-2.58,-2.41,-2.86
rural_welfare_pct,-2.31,-2.33,-2.36,-2.66,-2.36,-2.27,-2.66
benchmark_replication_max_dev,0,0,0,0,0,0,0
